target_xpath,condition_value,replacement_value
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282956,https://digicoll.lib.berkeley.edu/record/91829
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282957,https://digicoll.lib.berkeley.edu/record/91830
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282958,https://digicoll.lib.berkeley.edu/record/91831
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282959,https://digicoll.lib.berkeley.edu/record/91832
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282992,https://digicoll.lib.berkeley.edu/record/91833
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282993,https://digicoll.lib.berkeley.edu/record/91834
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282994,https://digicoll.lib.berkeley.edu/record/91835
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282995,https://digicoll.lib.berkeley.edu/record/91836
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282996,https://digicoll.lib.berkeley.edu/record/91837
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282997,https://digicoll.lib.berkeley.edu/record/91838
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282998,https://digicoll.lib.berkeley.edu/record/91839
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111282999,https://digicoll.lib.berkeley.edu/record/91840
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283000,https://digicoll.lib.berkeley.edu/record/91841
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283001,https://digicoll.lib.berkeley.edu/record/91842
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283002,https://digicoll.lib.berkeley.edu/record/91843
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283003,https://digicoll.lib.berkeley.edu/record/91844
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283004,https://digicoll.lib.berkeley.edu/record/91845
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283005,https://digicoll.lib.berkeley.edu/record/91846
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283006,https://digicoll.lib.berkeley.edu/record/91847
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283007,https://digicoll.lib.berkeley.edu/record/91848
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283008,https://digicoll.lib.berkeley.edu/record/91849
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283009,https://digicoll.lib.berkeley.edu/record/91850
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283010,https://digicoll.lib.berkeley.edu/record/91851
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283011,https://digicoll.lib.berkeley.edu/record/91852
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283012,https://digicoll.lib.berkeley.edu/record/91853
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283013,https://digicoll.lib.berkeley.edu/record/91854
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283014,https://digicoll.lib.berkeley.edu/record/91855
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283015,https://digicoll.lib.berkeley.edu/record/91856
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283016,https://digicoll.lib.berkeley.edu/record/91857
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283017,https://digicoll.lib.berkeley.edu/record/91858
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283018,https://digicoll.lib.berkeley.edu/record/91859
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283019,https://digicoll.lib.berkeley.edu/record/91860
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283020,https://digicoll.lib.berkeley.edu/record/91861
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283021,https://digicoll.lib.berkeley.edu/record/91862
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283022,https://digicoll.lib.berkeley.edu/record/91863
